,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,accuracy,precision,precision,precision,precision,precision,precision,precision,recall,recall,recall,recall,recall,recall,recall,f1_score,f1_score,f1_score,f1_score,f1_score,f1_score,f1_score,time_taken,time_taken,time_taken,time_taken,time_taken,time_taken,time_taken
,RF,LR,LDA,kNN,CART,SVM,VC,RF,LR,LDA,kNN,CART,SVM,VC,RF,LR,LDA,kNN,CART,SVM,VC,RF,LR,LDA,kNN,CART,SVM,VC,RF,LR,LDA,kNN,CART,SVM,VC
0,0.58125,0.58125,1.0,0.7351778656126483,0.11293268203735352,0.58125,0.58125,1.0,0.7351778656126483,0.11293268203735352,0.58125,0.58125,1.0,0.7351778656126483,0.11293268203735352,0.56875,0.5338388480392158,0.56875,0.5073498008541677,0.11293268203735352,0.58125,0.58125,1.0,0.7351778656126483,0.11293268203735352,0.58125,0.58125,1.0,0.7351778656126483,0.11293268203735352,0.58125,0.58125,1.0,0.7351778656126483,0.11293268203735352
0,0.6875,0.6875,1.0,0.8148148148148148,0.09522414207458496,0.6875,0.6875,1.0,0.8148148148148148,0.09522414207458496,0.6875,0.6875,1.0,0.8148148148148148,0.09522414207458496,0.6875,0.6875,1.0,0.8148148148148148,0.09522414207458496,0.6875,0.6875,1.0,0.8148148148148148,0.09522414207458496,0.6875,0.6875,1.0,0.8148148148148148,0.09522414207458496,0.6875,0.6875,1.0,0.8148148148148148,0.09522414207458496
0,0.6640625,0.6640625,1.0,0.7981220657276996,0.11600899696350098,0.6640625,0.6640625,1.0,0.7981220657276996,0.11600899696350098,0.6640625,0.6640625,1.0,0.7981220657276996,0.11600899696350098,0.6640625,0.6640625,1.0,0.7981220657276996,0.11600899696350098,0.6640625,0.6640625,1.0,0.7981220657276996,0.11600899696350098,0.6640625,0.6640625,1.0,0.7981220657276996,0.11600899696350098,0.6640625,0.6640625,1.0,0.7981220657276996,0.11600899696350098
0,0.75,0.75,1.0,0.8571428571428571,0.09743976593017578,0.75,0.75,1.0,0.8571428571428571,0.09743976593017578,0.75,0.75,1.0,0.8571428571428571,0.09743976593017578,0.75,0.75,1.0,0.8571428571428571,0.09743976593017578,0.75,0.75,1.0,0.8571428571428571,0.09743976593017578,0.75,0.75,1.0,0.8571428571428571,0.09743976593017578,0.75,0.75,1.0,0.8571428571428571,0.09743976593017578
0,1.0,1.0,1.0,1.0,0.10288262367248535,1.0,1.0,1.0,1.0,0.10288262367248535,1.0,1.0,1.0,1.0,0.10288262367248535,1.0,1.0,1.0,1.0,0.10288262367248535,1.0,1.0,1.0,1.0,0.10288262367248535,1.0,1.0,1.0,1.0,0.10288262367248535,1.0,1.0,1.0,1.0,0.10288262367248535
0,1.0,1.0,1.0,1.0,0.09005522727966309,1.0,1.0,1.0,1.0,0.09005522727966309,1.0,1.0,1.0,1.0,0.09005522727966309,1.0,1.0,1.0,1.0,0.09005522727966309,1.0,1.0,1.0,1.0,0.09005522727966309,1.0,1.0,1.0,1.0,0.09005522727966309,1.0,1.0,1.0,1.0,0.09005522727966309
0,0.4375,0.4375,1.0,0.6086956521739131,0.10418415069580078,0.4375,0.4375,1.0,0.6086956521739131,0.10418415069580078,0.4375,0.4375,1.0,0.6086956521739131,0.10418415069580078,0.5625,0.5625,1.0,0.72,0.10418415069580078,0.4375,0.4375,1.0,0.6086956521739131,0.10418415069580078,0.4375,0.4375,1.0,0.6086956521739131,0.10418415069580078,0.4375,0.4375,1.0,0.6086956521739131,0.10418415069580078
0,0.6015625,0.6015625,1.0,0.751219512195122,0.10391616821289062,0.6015625,0.6015625,1.0,0.751219512195122,0.10391616821289062,0.6015625,0.6015625,1.0,0.751219512195122,0.10391616821289062,0.6015625,0.6015625,1.0,0.751219512195122,0.10391616821289062,0.6015625,0.6015625,1.0,0.751219512195122,0.10391616821289062,0.6015625,0.6015625,1.0,0.751219512195122,0.10391616821289062,0.6015625,0.6015625,1.0,0.751219512195122,0.10391616821289062
0,0.84375,0.84375,1.0,0.9152542372881356,0.1398918628692627,0.84375,0.84375,1.0,0.9152542372881356,0.1398918628692627,0.84375,0.84375,1.0,0.9152542372881356,0.1398918628692627,0.21875,0.8887652947719689,0.22580645161290322,0.20547409579667641,0.1398918628692627,0.84375,0.84375,1.0,0.9152542372881356,0.1398918628692627,0.84375,0.84375,1.0,0.9152542372881356,0.1398918628692627,0.84375,0.84375,1.0,0.9152542372881356,0.1398918628692627
0,1.0,1.0,1.0,1.0,0.10061526298522949,1.0,1.0,1.0,1.0,0.10061526298522949,1.0,1.0,1.0,1.0,0.10061526298522949,1.0,1.0,1.0,1.0,0.10061526298522949,1.0,1.0,1.0,1.0,0.10061526298522949,1.0,1.0,1.0,1.0,0.10061526298522949,1.0,1.0,1.0,1.0,0.10061526298522949
0,0.984375,0.984375,1.0,0.9921259842519685,0.10257172584533691,0.984375,0.984375,1.0,0.9921259842519685,0.10257172584533691,0.984375,0.984375,1.0,0.9921259842519685,0.10257172584533691,0.984375,0.984375,1.0,0.9921259842519685,0.10257172584533691,0.984375,0.984375,1.0,0.9921259842519685,0.10257172584533691,0.984375,0.984375,1.0,0.9921259842519685,0.10257172584533691,0.984375,0.984375,1.0,0.9921259842519685,0.10257172584533691
0,0.6875,0.6875,1.0,0.8148148148148148,0.11237859725952148,0.6875,0.6875,1.0,0.8148148148148148,0.11237859725952148,0.6875,0.6875,1.0,0.8148148148148148,0.11237859725952148,0.25,0.30128205128205127,0.25,0.2023809523809524,0.11237859725952148,0.6875,0.6875,1.0,0.8148148148148148,0.11237859725952148,0.6875,0.6875,1.0,0.8148148148148148,0.11237859725952148,0.6875,0.6875,1.0,0.8148148148148148,0.11237859725952148
0,0.734375,0.734375,1.0,0.8468468468468469,0.10420107841491699,0.734375,0.734375,1.0,0.8468468468468469,0.10420107841491699,0.734375,0.734375,1.0,0.8468468468468469,0.10420107841491699,0.7109375,0.642664627039627,0.7109375,0.6528205634544497,0.10420107841491699,0.734375,0.734375,1.0,0.8468468468468469,0.10420107841491699,0.734375,0.734375,1.0,0.8468468468468469,0.10420107841491699,0.734375,0.734375,1.0,0.8468468468468469,0.10420107841491699
0,0.5390625,0.5390625,1.0,0.700507614213198,0.09647130966186523,0.5390625,0.5390625,1.0,0.700507614213198,0.09647130966186523,0.5390625,0.5390625,1.0,0.700507614213198,0.09647130966186523,0.5390625,0.5390625,1.0,0.700507614213198,0.09647130966186523,0.5390625,0.5390625,1.0,0.700507614213198,0.09647130966186523,0.5390625,0.5390625,1.0,0.700507614213198,0.09647130966186523,0.5390625,0.5390625,1.0,0.700507614213198,0.09647130966186523
0,0.640625,0.640625,1.0,0.780952380952381,0.1081240177154541,0.640625,0.640625,1.0,0.780952380952381,0.1081240177154541,0.640625,0.640625,1.0,0.780952380952381,0.1081240177154541,0.640625,0.640625,1.0,0.780952380952381,0.1081240177154541,0.640625,0.640625,1.0,0.780952380952381,0.1081240177154541,0.640625,0.640625,1.0,0.780952380952381,0.1081240177154541,0.640625,0.640625,1.0,0.780952380952381,0.1081240177154541
0,0.8787878787878788,0.8787878787878788,1.0,0.9354838709677419,0.11614751815795898,0.8787878787878788,0.8787878787878788,1.0,0.9354838709677419,0.11614751815795898,0.8787878787878788,0.8787878787878788,1.0,0.9354838709677419,0.11614751815795898,0.8787878787878788,0.8787878787878788,1.0,0.9354838709677419,0.11614751815795898,0.8787878787878788,0.8787878787878788,1.0,0.9354838709677419,0.11614751815795898,0.8787878787878788,0.8787878787878788,1.0,0.9354838709677419,0.11614751815795898,0.8787878787878788,0.8787878787878788,1.0,0.9354838709677419,0.11614751815795898
