,model_version,accuracy,precision,recall,f1_score_value,time_consumed
0,v1,0.765625,0.765625,1.0,0.8672566371681416,0.2050940990447998
0,v2,0.640625,0.640625,1.0,0.780952380952381,0.3402540683746338
0,v3,0.75,0.75,1.0,0.8571428571428571,0.5557878017425537
0,v4,1.0,1.0,1.0,1.0,0.6071538925170898
0,v5,0.96875,0.96875,1.0,0.9841269841269841,0.6123671531677246
0,v6,0.75,0.75,1.0,0.8571428571428571,0.7891063690185547
0,v7,0.71875,0.71875,1.0,0.8363636363636363,0.9177002906799316
0,v8,0.890625,0.890625,1.0,0.9421487603305786,1.0121197700500488
0,v9,1.0,1.0,1.0,1.0,1.0352988243103027
0,v10,0.984375,0.984375,1.0,0.9921259842519685,1.1571903228759766
0,v11,0.5,0.5,1.0,0.6666666666666666,1.2415573596954346
0,v12,0.7734375,0.7734375,1.0,0.8722466960352423,1.472301959991455
0,v13,0.4921875,0.4921875,1.0,0.6596858638743456,1.4845874309539795
0,v14,0.65625,0.65625,1.0,0.7924528301886793,1.5626373291015625
0,v15,0.8787878787878788,0.8787878787878788,1.0,0.9354838709677419,1.7325139045715332
0,v16,0.8823529411764706,0.8823529411764706,1.0,0.9375,1.711672067642212
0,v17,0.75,0.75,1.0,0.8571428571428571,1.8975410461425781
0,v18,0.7674418604651163,0.7674418604651163,1.0,0.868421052631579,2.0483055114746094
0,v19,0.5078125,0.5078125,1.0,0.6735751295336787,2.1594831943511963
0,v20,0.703125,0.703125,1.0,0.8256880733944955,2.3297207355499268
0,v21,0.546875,0.546875,1.0,0.7070707070707071,2.425610303878784
0,v22,0.984375,0.984375,1.0,0.9921259842519685,2.3338677883148193
0,v23,0.5,0.45454545454545453,0.5,0.45614035087719296,2.379866123199463
0,v24,0.6201550387596899,0.6201550387596899,1.0,0.7655502392344498,2.7160403728485107
0,v25,0.8769230769230769,0.8769230769230769,1.0,0.9344262295081968,2.763030529022217
0,v26,1.0,1.0,1.0,1.0,2.809216260910034
0,v27,0.984375,0.984375,1.0,0.9921259842519685,2.991154432296753
0,v28,0.631578947368421,0.631578947368421,1.0,0.7741935483870966,2.916515827178955
0,v29,0.765625,0.765625,1.0,0.8672566371681416,3.3088955879211426
0,v30,0.4609375,0.5035572066822067,0.4609375,0.3554828042328042,3.6141462326049805
0,v31,0.5692307692307692,0.5419924337957125,0.5692307692307692,0.46043956043956036,3.5726311206817627
0,v32,0.8181818181818182,0.8181818181818182,1.0,0.8999999999999999,3.3168249130249023
0,v33,0.9047619047619048,0.9047619047619048,1.0,0.9500000000000001,3.484745502471924
0,v34,0.8787878787878788,0.8787878787878788,1.0,0.9354838709677419,3.755289316177368
0,v35,0.78125,0.78125,1.0,0.8771929824561403,3.9531161785125732
0,v36,0.5546875,0.5546875,1.0,0.7135678391959799,4.1088433265686035
0,v37,0.640625,0.640625,1.0,0.780952380952381,4.301968574523926
0,v38,0.5546875,0.5546875,1.0,0.7135678391959799,4.446113586425781
